Sítio,Coleta,Setor,Nível,Técnica de transformação,Matériaprima,Classe artefatual,Estado de preservação,Tipo de córtex,Tipo de lascas,Talão,Preparação,Canto ventral,Forma do bulbo,Número de cicatrizes,Direção das cicatrizes,Perfil,Tipo de núcleo,Tipo de plataforma de percussão,Tipo de instrumento,Base de modificação primária,Tipo de modificação,Extensão,Posição,Morfologia,Delineamento,Ângulo,Localização,Repartição,Padrão de ocorrência,Marcas de uso,Direção microlascamentos
SCTA19,Quadrícula 1,,3 (20 - 30),Indeterminada,Silexito,Detrito,Indeterminada,Plaqueta,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,,3 (20 - 30),Indeterminada,Silexito,Detrito,Indeterminada,Plaqueta,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,,3 (20 - 30),Unipolar,Silexito,Lasca,Completo,Inexistente,Lasca de debitagem,Liso,Sem preparação,Sem lábio,Pronunciado,3,Ortogonal,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,,3 (20 - 30),Unipolar,Silexito,Lasca,Completo,Inexistente,Lasca de debitagem,Diedro,Sem preparação,Sem lábio,Pronunciado,3,Ortogonal,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,,3 (20 - 30),Unipolar,Silexito,Lasca,Completo,Inexistente,Lasca de debitagem,Liso,Sem preparação,Sem lábio,Difuso,3,Ortogonal,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,,3 (20 - 30),Unipolar,Silexito,Lasca,Completo,Inexistente,Lasca de debitagem,Liso,Sem preparação,Sem lábio,Pronunciado,1,Uma cicatriz,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,,3 (20 - 30),Unipolar,Silexito,Lasca,Fragmentado,Inexistente,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,,3 (20 - 30),Unipolar,Silexito,Lasca,Fragmentado,Inexistente,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,,3 (20 - 30),Unipolar,Silexito,Lasca,Fragmentado,Inexistente,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,Setor 1,8 (70 - 80),Unipolar,Silexito,Lasca,Completo,Inexistente,Lasca de debitagem,Liso,Sem preparação,Sem lábio,Pronunciado,4 ou +,Ortogonal,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,Setor 1,8 (70 - 80),Unipolar,Silexito,Lasca,Completo,Inexistente,Lasca de formatação,Linear,Sem preparação,Sem lábio,Pronunciado,4 ou +,Ortogonal,Helicoidal,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,Setor 1,8 (70 - 80),Unipolar,Silexito,Lasca,Fragmentado,Inexistente,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,Setor 1,8 (70 - 80),Indeterminada,Silexito,Detrito,Indeterminada,Inexistente,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,Setor 1,8 (70 - 80),Indeterminada,Silexito,Detrito,Indeterminada,Inexistente,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,Setor 1,8 (70 - 80),Indeterminada,Silexito,Detrito,Indeterminada,Inexistente,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,Setor 1,8 (70 - 80),Unipolar,Silexito,Núcleo,Completo,Bloco,,,,,,,,,Núcleo unipolar com um plano de percussão definido,Acortical liso,,,,,,,,,,,,,
SCTA19,Quadrícula 1,Setor 1,6 (50 - 60),Unipolar,Silexito,Lasca,Completo,Inexistente,Lasca de debitagem,Liso,Sem preparação,Sem lábio,Difuso,3,Ortogonal,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,Setor 1,6 (50 - 60),Unipolar,Silexito,Lasca,Fragmentado,Inexistente,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,Setor 1,6 (50 - 60),Unipolar,Silexito,Lasca,Fragmentado,Inexistente,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,Setor 1,6 (50 - 60),Indeterminada,Silexito,Detrito,Indeterminada,Inexistente,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,Setor 1,6 (50 - 60),Unipolar,Silexito,Lasca,Completo,Inexistente,Lasca de debitagem,Diedro,Sem preparação,Sem lábio,Difuso,3,Paralela,Curvo,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,Setor 1,7 (60 - 70),Unipolar,Silexito,Lasca,Fragmentado,Inexistente,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,Setor 1,7 (60 - 70),Unipolar,Silexito,Lasca,Fragmentado,Inexistente,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,Setor 1,7 (60 - 70),Unipolar,Silexito,Lasca,Fragmentado,Inexistente,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,Setor 1,7 (60 - 70),Unipolar,Silexito,Lasca,Fragmentado,Inexistente,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,Setor 1,8 (70 - 80),Unipolar,Silexito,Lasca,Fragmentado,Inexistente,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,Setor 1,8 (70 - 80),Unipolar,Silexito,Instrumento,Fragmentado,Bloco,,,,,,,,,,,Bifacial,Lasca unipolar,Retoque,Marginal regular,Bifacial,Paralela,Convexo,Rasante (0 - 20),Todo o contorno bifacial,Total,Contínuo,,
SCTA19,Quadrícula 1,Setor 1,9 (80 - 90),Unipolar,Silexito,Lasca,Fragmentado,Inexistente,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,Setor 1,9 (80 - 90),Unipolar,Silexito,Lasca,Fragmentado,Inexistente,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,Setor 1,9 (80 - 90),Unipolar,Silexito,Lasca,Fragmentado,Inexistente,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,Setor 1,9 (80 - 90),Unipolar,Silexito,Lasca,Fragmentado,Inexistente,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,,1 (0 - 10),Unipolar,Silexito,Lasca,Fragmentado,Inexistente,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,,1 (0 - 10),Unipolar,Silexito,Lasca,Fragmentado,Inexistente,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,,1 (0 - 10),Unipolar,Silexito,Lasca,Fragmentado,Inexistente,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,,1 (0 - 10),Unipolar,Silexito,Lasca,Fragmentado,Inexistente,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,,1 (0 - 10),Unipolar,Silexito,Lasca,Fragmentado,Inexistente,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,,1 (0 - 10),Indeterminada,Silexito,Detrito,Indeterminada,Inexistente,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,,1 (0 - 10),Indeterminada,Silexito,Detrito,Indeterminada,Inexistente,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,,1 (0 - 10),Indeterminada,Silexito,Detrito,Indeterminada,Inexistente,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,,1 (0 - 10),Indeterminada,Arenito,Detrito,Fragmentado,Indeterminado,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,,1 (0 - 10),Indeterminada,Arenito,Detrito,Indeterminada,Indeterminado,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,,1 (0 - 10),Indeterminada,Basalto,Detrito,Indeterminada,Indeterminado,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,,1 (0 - 10),Unipolar,Silexito,Lasca,Completo,Inexistente,Lasca de debitagem,Liso,Sem preparação,Sem lábio,Pronunciado,1,Uma cicatriz,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,,1 (0 - 10),Unipolar,Silexito,Lasca,Proximal/Mesial,Inexistente,Lasca de formatação,Linear,Sem preparação,Sem lábio,Difuso,2,Paralela,Helicoidal,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,,2 (10 - 20),Unipolar,Silexito,Lasca,Fragmentado,Inexistente,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,,2 (10 - 20),Unipolar,Silexito,Lasca,Fragmentado,Inexistente,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,,2 (10 - 20),Unipolar,Silexito,Lasca,Fragmentado,Inexistente,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,,2 (10 - 20),Unipolar,Silexito,Lasca,Completo,Seixo,Lasca cortical,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,,2 (10 - 20),Unipolar,Arenito silicificado,Lasca,Completo,Inexistente,Lasca de debitagem,Em asa,Sem preparação,Sem lábio,Pronunciado,4 ou +,Ortogonal,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,,2 (10 - 20),Unipolar,Silexito,Lasca,Completo,Inexistente,Lasca de debitagem,Liso,Sem preparação,Sem lábio,Pronunciado,2,Paralela,Helicoidal,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,,2 (10 - 20),Unipolar,Silexito,Lasca,Completo,Inexistente,Lasca de debitagem,Liso,Sem preparação,Sem lábio,Difuso,3,Ortogonal,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,,2 (10 - 20),Unipolar,Silexito,Lasca,Completo,Inexistente,Lasca de debitagem,Liso,Sem preparação,Sem lábio,Difuso,3,Ortogonal,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,,2 (10 - 20),Unipolar,Silexito,Lasca,Completo,Inexistente,Lasca de debitagem,Indeterminado,Sem preparação,Sem lábio,Difuso,2,Paralela,Helicoidal,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,,2 (10 - 20),Unipolar,Silexito,Lasca,Completo,Inexistente,Lasca de formatação,Linear,Sem preparação,Sem lábio,Difuso,3,Ortogonal,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 2,,1 (0 - 10),Sem transformação,Outros tipos de vestígios,,,,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 2,,1 (0 - 10),Unipolar,Basalto,Lasca,Fragmentado,Indeterminado,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 2,,1 (0 - 10),Indeterminada,Basalto,Detrito,Indeterminada,Indeterminado,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 2,,1 (0 - 10),Indeterminada,Silexito,Detrito,Indeterminada,Inexistente,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 2,,1 (0 - 10),Indeterminada,Silexito,Detrito,Indeterminada,Inexistente,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 2,,1 (0 - 10),Indeterminada,Silexito,Detrito,Indeterminada,Inexistente,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 2,,1 (0 - 10),Indeterminada,Silexito,Detrito,Indeterminada,Inexistente,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 2,,1 (0 - 10),Indeterminada,Silexito,Detrito,Indeterminada,Indeterminado,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 2,,1 (0 - 10),Indeterminada,Silexito,Detrito,Indeterminada,Indeterminado,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 2,,1 (0 - 10),Indeterminada,Silexito,Detrito,Indeterminada,Indeterminado,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 2,,1 (0 - 10),Indeterminada,Silexito,Detrito,Indeterminada,Indeterminado,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 2,,1 (0 - 10),Indeterminada,Silexito,Detrito,Indeterminada,Indeterminado,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 2,,1 (0 - 10),Indeterminada,Silexito,Detrito,Indeterminada,Indeterminado,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 2,,1 (0 - 10),Unipolar,Silexito,Lasca,Completo,Inexistente,Lasca de debitagem,Linear,Sem preparação,Sem lábio,Pronunciado,4 ou +,Ortogonal,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 2,,1 (0 - 10),Unipolar,Silexito,Lasca,Completo,Inexistente,Lasca de debitagem,Liso,Sem preparação,Sem lábio,Difuso,3,Ortogonal,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 2,,1 (0 - 10),Unipolar,Silexito,Lasca,Completo,Inexistente,Lasca de debitagem,Liso,Sem preparação,Sem lábio,Difuso,3,Ortogonal,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 2,,1 (0 - 10),Unipolar,Silexito,Lasca,Completo,Inexistente,Lasca de formatação,Linear,Sem preparação,Sem lábio,Difuso,3,Paralela,Curvo,,,,,,,,,,,,,,,
SCTA19,Quadrícula 2,,1 (0 - 10),Unipolar,Silexito,Lasca,Completo,Inexistente,Lasca de retoque,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 2,,1 (0 - 10),Unipolar,Silexito,Lasca,Completo,Inexistente,Lasca de retoque,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 2,,1 (0 - 10),Unipolar,Silexito,Lasca,Completo,Inexistente,Lasca de retoque,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 2,,1 (0 - 10),Unipolar,Silexito,Lasca,Completo,Inexistente,Lasca de retoque,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 2,,1 (0 - 10),Unipolar,Silexito,Lasca,Completo,Inexistente,Lasca de retoque,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 2,,1 (0 - 10),Unipolar,Silexito,Lasca,Completo,Inexistente,Lasca de retoque,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 2,,2 (10 - 20),Sem transformação,Outros tipos de vestígios,,,,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 2,,2 (10 - 20),Indeterminada,Basalto,Detrito,Fragmentado,Indeterminado,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 2,,2 (10 - 20),Indeterminada,Basalto,Detrito,Fragmentado,Indeterminado,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 2,,2 (10 - 20),Indeterminada,Arenito,Detrito,Fragmentado,Indeterminado,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 2,,2 (10 - 20),Indeterminada,Arenito,Detrito,Fragmentado,Plaqueta,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 2,,2 (10 - 20),Unipolar,Silexito,Lasca,Proximal/Mesial,Inexistente,Lasca de debitagem,Liso,Sem preparação,Sem lábio,Pronunciado,2,Paralela,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 2,,2 (10 - 20),Unipolar,Silexito,Lasca,Completo,Inexistente,Lasca de formatação,Linear,Sem preparação,Sem lábio,Pronunciado,2,Paralela,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 2,,2 (10 - 20),Unipolar,Silexito,Lasca,Completo,Inexistente,Lasca de formatação,Linear,Sem preparação,Sem lábio,Pronunciado,3,Paralela,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 2,,2 (10 - 20),Unipolar,Silexito,Lasca,Completo,Inexistente,Lasca de formatação,Linear,Sem preparação,Sem lábio,Difuso,3,Paralela,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 2,,2 (10 - 20),Bipolar,Silexito,Lasca,Completo,Inexistente,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 2,,2 (10 - 20),Bipolar,Silexito,Lasca,Indeterminada,Inexistente,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 2,,2 (10 - 20),Unipolar,Silexito,Lasca,Fragmentado,Inexistente,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 2,,2 (10 - 20),Unipolar,Silexito,Lasca,Fragmentado,Inexistente,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 2,,2 (10 - 20),Indeterminada,Silexito,Detrito,Indeterminada,Indeterminado,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 2,,2 (10 - 20),Indeterminada,Silexito,Detrito,Indeterminada,Indeterminado,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 2,,2 (10 - 20),Indeterminada,Silexito,Detrito,Indeterminada,Indeterminado,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 2,,2 (10 - 20),Unipolar,Silexito,Lasca,Indeterminada,Inexistente,Lasca de retoque,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 2,,2 (10 - 20),Unipolar,Silexito,Lasca,Indeterminada,Inexistente,Lasca de retoque,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 2,,2 (10 - 20),Unipolar,Silexito,Lasca,Indeterminada,Inexistente,Lasca de retoque,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 2,,2 (10 - 20),Unipolar,Silexito,Lasca,Indeterminada,Inexistente,Lasca de retoque,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 2,,3 (20 - 30),Bipolar,Silexito,Lasca,Indeterminada,Inexistente,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 2,,3 (20 - 30),Indeterminada,Silexito,Detrito,Indeterminada,Inexistente,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 2,Setor 1,4 (30 - 40),Unipolar,Silexito,Lasca,Completo,Inexistente,Lasca de debitagem,Liso,Sem preparação,Sem lábio,Difuso,2,Paralela,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 2,Setor 1,4 (30 - 40),Indeterminada,Silexito,Lasca,Fragmentado,Inexistente,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 2,Setor 1,4 (30 - 40),Indeterminada,Silexito,Lasca,Fragmentado,Inexistente,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 2,Setor 1,4 (30 - 40),Unipolar,Silexito,Lasca,Fragmentado,Inexistente,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 2,Setor 1,4 (30 - 40),Indeterminada,Silexito,Detrito,Indeterminada,Inexistente,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 2,Setor 1,4 (30 - 40),Indeterminada,Silexito,Detrito,Indeterminada,Bloco,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 2,Setor 1,5 (40 - 50),Unipolar,Silexito,Lasca,Completo,Inexistente,Lasca de formatação,Indeterminado,Sem preparação,Sem lábio,Pronunciado,2,Ortogonal,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 2,Setor 1,5 (40 - 50),Unipolar,Silexito,Lasca,Completo,Inexistente,Lasca de formatação,Indeterminado,Sem preparação,Sem lábio,Difuso,2,Ortogonal,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 2,Setor 1,5 (40 - 50),Unipolar,Silexito,Lasca,Completo,Inexistente,Lasca de formatação,Indeterminado,Sem preparação,Sem lábio,Difuso,2,Ortogonal,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 2,Setor 1,5 (40 - 50),Unipolar,Silexito,Lasca,Completo,Inexistente,Lasca de formatação,Indeterminado,Sem preparação,Sem lábio,Difuso,2,Ortogonal,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 2,Setor 1,5 (40 - 50),Unipolar,Silexito,Lasca,Completo,Inexistente,Lasca de formatação,Indeterminado,Sem preparação,Sem lábio,Difuso,3,Paralela,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 2,Setor 1,5 (40 - 50),Unipolar,Silexito,Lasca,Completo,Inexistente,Lasca de formatação,Indeterminado,Sem preparação,Sem lábio,Difuso,3,Paralela,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 2,Setor 1,5 (40 - 50),Unipolar,Silexito,Lasca,Completo,Inexistente,Lasca de formatação,Indeterminado,Sem preparação,Sem lábio,Pronunciado,2,Paralela,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 2,Setor 1,5 (40 - 50),Unipolar,Silexito,Lasca,Completo,Inexistente,Lasca de formatação,Indeterminado,Sem preparação,Sem lábio,Pronunciado,2,Paralela,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 2,Setor 1,5 (40 - 50),Unipolar,Silexito,Lasca,Completo,Inexistente,Lasca de formatação,Indeterminado,Sem preparação,Sem lábio,Pronunciado,3,Paralela,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 2,Setor 1,5 (40 - 50),Unipolar,Silexito,Lasca,Completo,Inexistente,Lasca de formatação,Indeterminado,Sem preparação,Sem lábio,Difuso,2,Paralela,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 2,Setor 1,5 (40 - 50),Unipolar,Silexito,Lasca,Completo,Inexistente,Lasca de formatação,Indeterminado,Sem preparação,Sem lábio,Difuso,2,Paralela,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 2,Setor 1,5 (40 - 50),Indeterminada,Silexito,Lasca,Indeterminada,Inexistente,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 2,Setor 1,5 (40 - 50),Indeterminada,Silexito,Lasca,Indeterminada,Inexistente,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 2,Setor 1,5 (40 - 50),Indeterminada,Silexito,Lasca,Indeterminada,Inexistente,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 2,Setor 1,5 (40 - 50),Indeterminada,Silexito,Lasca,Indeterminada,Inexistente,,,,,,,,,,,,,,,,,,,,,,,
